Htno,Subcode,Subname,Grade,Credits
20L31A5429,1005201203,Data Structures,C,3
20L31A5429,1005201211,Web Design Lab,O,1.5
20L31A5429,1005201212,Data Structures Lab,B,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A5429,1000201213,Physics of Materials Lab,O,1.5
20L31A5429,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5429,1000201121,Constitution of India,CP,-
20L31A5430,1000201205,Statistics for Data Science-I,C,3
20L31A5430,1005201201,Computer Organization,C,3
20L31A5430,1005201202,Web Design,C,3
20L31A5430,1005201203,Data Structures,C,3
20L31A5430,1005201211,Web Design Lab,O,1.5
20L31A5430,1005201212,Data Structures Lab,A,1.5
20L31A5430,1000201213,Physics of Materials Lab,O,1.5
20L31A5430,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5430,1000201121,Constitution of India,CP,-
20L31A5431,1000201205,Statistics for Data Science-I,O,3
20L31A5431,1005201201,Computer Organization,A,3
20L31A5431,1005201202,Web Design,C,3
20L31A5431,1005201203,Data Structures,B,3
20L31A5431,1005201211,Web Design Lab,O,1.5
20L31A5431,1005201212,Data Structures Lab,A,1.5
20L31A5431,1000201213,Physics of Materials Lab,O,1.5
20L31A5431,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5431,1000201121,Constitution of India,CP,-
20L31A5432,1000201205,Statistics for Data Science-I,B,3
20L31A5432,1005201201,Computer Organization,C,3
20L31A5432,1005201202,Web Design,C,3
20L31A5432,1005201203,Data Structures,B,3
20L31A5432,1005201211,Web Design Lab,A,1.5
20L31A5432,1005201212,Data Structures Lab,O,1.5
20L31A5432,1000201213,Physics of Materials Lab,O,1.5
20L31A5432,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5432,1000201121,Constitution of India,CP,-
20L31A5433,1000201205,Statistics for Data Science-I,B,3
20L31A5433,1005201201,Computer Organization,D,3
20L31A5433,1005201202,Web Design,D,3
20L31A5433,1005201203,Data Structures,D,3
20L31A5433,1005201211,Web Design Lab,A,1.5
20L31A5433,1005201212,Data Structures Lab,B,1.5
20L31A5433,1000201213,Physics of Materials Lab,O,1.5
20L31A5433,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5433,1000201121,Constitution of India,CP,-
20L31A5434,1000201205,Statistics for Data Science-I,A,3
20L31A5434,1005201201,Computer Organization,B,3
20L31A5434,1005201202,Web Design,B,3
20L31A5434,1005201203,Data Structures,B,3
20L31A5434,1005201211,Web Design Lab,O,1.5
20L31A5434,1005201212,Data Structures Lab,A,1.5
20L31A5434,1000201213,Physics of Materials Lab,O,1.5
20L31A5434,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5434,1000201121,Constitution of India,CP,-
20L31A5435,1000201205,Statistics for Data Science-I,O,3
20L31A5435,1005201201,Computer Organization,A,3
20L31A5435,1005201202,Web Design,C,3
Htno,Subcode,Subname,Grade,Credits
20L31A5435,1005201203,Data Structures,B,3
20L31A5435,1005201211,Web Design Lab,O,1.5
20L31A5435,1005201212,Data Structures Lab,A,1.5
20L31A5435,1000201213,Physics of Materials Lab,O,1.5
20L31A5435,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5435,1000201121,Constitution of India,CP,-
20L31A5436,1000201205,Statistics for Data Science-I,B,3
20L31A5436,1005201201,Computer Organization,B,3
20L31A5436,1005201202,Web Design,C,3
20L31A5436,1005201203,Data Structures,B,3
20L31A5436,1005201211,Web Design Lab,O,1.5
20L31A5436,1005201212,Data Structures Lab,B,1.5
20L31A5436,1000201213,Physics of Materials Lab,O,1.5
20L31A5436,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5436,1000201121,Constitution of India,CP,-
20L31A5437,1000201205,Statistics for Data Science-I,B,3
